1234567890
QWERTYUIOPASDFGHJKLZXCVBNM
qwertyuiopasdfghjklzxcvbnm
~!@#$%^&*()_+|-=\{}:’"<>?[];',./ ©△○□★☆⊙∞
■◆◇◎♣♧♡♥◈※→↑ ▲▼

English 한국어 日本語 繁體中文 ภาษาไทย 


夜, 念, 富, 止
key	_대분류	_소분류	_번역 안됨	en_US	ko_KR	ja_JP	zh_TW	th_TH	_스킬(영어원문 / 지우면 안됨)	_스킬(일어원문 / 지우면 안됨)	_스킬(중국어원문 / 지우면 안됨)	_스킬(태국어원문 / 지우면 안됨)	_비고2	1
10010		분 초	FALSE	{0} m {1} s passed	{0}분 {1}초 지남	{0}分 {1}秒 経過	已過 {0} 分鐘 {1} 秒	ผ่านมาแล้ว {0} นาที {1} วินาที					배틀로그	
10011	종료 팝업		FALSE	CLOSE GAME	게임 종료	ゲーム終了	遊戲結束	จบเกม						
10012			FALSE	Are you sure you want to exit the game?	게임을 종료하시겠습니까?	ゲームを終了しますか？	要結束遊戲嗎？	ต้องการจบเกมหรือไม่?						
10013			FALSE	YES	예	はい	是	ใช่						
10014			FALSE	NO	아니오	いいえ	否	ไม่						
10015			FALSE	GO TO RECHARGE	충전하러 가기	充電へ	前往充電	ไปชาร์จ					내구도 부족 팝업 수리하러 가기	
10016			FALSE	CLOSE	창 닫기	ウィンドウを閉じる	關閉視窗	ปิดหน้าต่าง					내구도 부족 팝업 창 닫기	
10017	서든데스	공격력 증가, 체력 감소	FALSE	"<color=#0090FF>ATK {0}% increased</color>
<color=#FF0000>HP {1}% decreased</color>"	"<color=#0090FF>ATK {0}% 증가</color>
<color=#FF0000>HP {1}% 감소</color>"	"<color=#0090FF>ATK {0}% 増加</color>
<color=#FF0000>HP {1}% 減少</color>"	"<color=#0090FF>ATK 增加 {0}%</color>
<color=#FF0000>HP 減少 {1}%</color>"	"<color=#0090FF>ATK เพิ่มขึ้น {0}%</color>
<color=#FF0000>HP ลดลง {1}%</color>"						
10018		체력 감소	FALSE	HP {0}% decreased	HP {0}% 감소	HP {0}% 減少	HP 減少 {0}%	HP ลดลง {0}%						
10019			FALSE	Are you sure you want to go back?	정말 이전으로 돌아가시겠습니까?	本当に戻りますか？	確定要返回嗎？	แน่ใจหรือไม่ที่จะกลับไป?						
10401	메뉴 이름	HUD	FALSE	SHOP	상점	ショップ	商店	ร้านค้า						
10402			FALSE	TEAM	팀	チーム	團隊	ทีม						
10403			FALSE	HOME	홈	ホーム	主頁	หน้าแรก						
10404			FALSE	ADVENTURE	모험	アドベンチャー	冒險	ผจญภัย						
10405			FALSE	ANCIENT LAB	고대연구소	古代研究所	古代實驗室	ห้องวิจัยโบราณ						
10406		상점	FALSE	SPECIAL	스페셜	スペシャル	特別	พิเศษ						
10407			FALSE	ITEM	아이템	アイテム	道具	ไอเท็ม						
10408		ADVENTURE	FALSE	DUNGEON	던전	ダンジョン	地城	ดันเจี้ยน						
10409			FALSE	FRONTIER	원정대	フロンティア	前線	ฟรอนเทียร์						
10410			FALSE	RIVAL	라이벌	ライバル	對手	คู่แข่ง						
10411		ANCIENT LAB	FALSE	ARTIFACT	유물	アーティファクト	遺物	อาร์ติแฟกต์						
10412			FALSE	TRAIT	특성	特性	特性	ลักษณะพิเศษ						
10413			FALSE	CODEX	코덱스	コーデックス	典籍	โค้เด็กซ์						
10414			FALSE	Limited	한정	限定	限定	จำกัด						
10415			FALSE	Capsule	캡슐	カプセル	膠囊	แคปซูล						
20008		TEAM 편집 메뉴	FALSE	GUARDIANS	가디언	ガーディアン	守護者	ผู้พิทักษ์						
10500	토스트 메세지	(클베용 임시) 자동전투 미해금시	FALSE	Auto-Battle will be unlocked at account level 5.	계정 4레벨 달성 시 자동전투 기능을 사용할 수 있습니다.	アカウントがレベル4になると自動戦闘機能が利用可能になります。	帳號達到等級4即可使用自動戰鬥功能。	เมื่อบัญชีถึงเลเวล 4 จะสามารถใช้ระบบการต่อสู้อัตโนมัติได้						
10501			FALSE	Content Open	컨텐츠 오픈	コンテンツ解放	解鎖內容	ปลดล็อกคอนเทนต์						
10502			FALSE	Daily mission completed	일일 미션 완료	デイリーミッション完了	每日任務完成	ภารกิจรายวันสำเร็จ						
10503			FALSE	Guardian Pass {0} rank achieved!	가디언패스 {0} 등급 달성!	ガーディアンパス{0}ランク達成!	守護者通行證 {0} 等級達成!	ปลดล็อก Guardian Pass อันดับ {0} แล้ว!						
10504			FALSE	Found a new artifact!	새로운 유물 발견	新しいアーティファクト発見	發現新遺物	ค้นพบอาร์ติแฟกต์ใหม่						
10505			FALSE	Cannot be used during battle.	전투 중엔 사용할 수 없습니다.	戦闘中は使用できません。	戰鬥中無法使用。	ไม่สามารถใช้ได้ระหว่างการต่อสู้						
10506			FALSE	Claim rewards in the message box!	우편함에서 보상을 받아보세요!	メールボックスから報酬を受け取りましょう！	請從信箱領取獎勵！	รับรางวัลจากกล่องจดหมาย!						
10507			FALSE	In the auto play mode, you cannot use items.	오토일때 사용 불가능합니다.	オート時は使用できません。	自動模式下無法使用。	ไม่สามารถใช้ในโหมดอัตโนมัติ					자동 시 부스터 사용 불가 알림 (토스트 메시지)	
10508			FALSE	Bonus reward has been sent to your mailbox!	보너스 보상은 우편함으로 지급되었습니다!	ボーナス報酬はメールボックスに届きました!	獎勵已發送至郵箱!	รางวัลโบนัสถูกส่งไปยังกล่องจดหมายแล้ว!						
11001	스킬	스킬 이름	FALSE	POWER SLAM	강력한 충돌	パワースラム	強力重擊	พาวเวอร์แสลม						
11002			FALSE	RISING SPIKE	솟구치는 가시	ライジングスパイク	上升尖刺	ไรซิ่งสไปค์						
11003			FALSE	CANNON BURST	포격 난사	キャノンバースト	加農爆發	แคนนอนเบิร์สต์						
11004			FALSE	ASTRAL HUNT	천체의 추적	アストラルハント	星界狩獵	การล่าดวงดาว						
11005			FALSE	MELODY WIND	선율의 바람	メロディウィンド	旋律之風	เมโลดี้วินด์						
11006			FALSE	HEALING EMBRACE	치유의 품	ヒーリングエンブレイス	治癒擁抱	ฮีลลิ่งเอ็มเบรซ						
11007			FALSE	BLADE RUSH	칼날연격	ブレードラッシュ	刀刃突襲	เบลดรัช						
11008			FALSE	BURNING STRIKE	봉황	バーニングストライク	燃燒打擊	เบิร์นนิ่งสไตรค์						
11009			FALSE	METEOR DIVE	운석 낙하	メテオダイブ	流星俯衝	มีเทียร์ไดฟ์						
11010			FALSE	CHAINSAW	절단	チェーンソー	鏈鋸	เชนซอ						
11011			FALSE	PROTECT SHOT	보호탄	プロテクトショット	防護射擊	โปรเทคต์ชอต						
11012			FALSE	BLOOM BARRAGE	화려한 세례	ブルームバラージュ	花朵彈幕	บลูมแบร์ราจ						
11013			FALSE	FLASH	섬광 펀치	フラッシュ	閃光	แฟลช						
11014			FALSE	SLUMBER SPIN	잠의 선회	眠りの旋回	沉睡迴旋	การหมุนแห่งการหลับใหล						
11015			FALSE	SHELTER	은신의 처소	シェルター	庇護所	เชลเตอร์						
11016			FALSE	SENTINEL	수문장	センチネル	哨兵	เซนติเนล						
11017			FALSE	DRILL LUNGE	나선 돌진	ドリルランジ	鑽頭突刺	ดริลลันจ์						
11018			FALSE	STUNNING BLOW	마비 일격	スタニングブロー	擊暈重擊	การโจมตีสลบ						
11019			FALSE	VULCAN LAUNCHER	화신포	バルカンランチャー	火神發射器	วัลแคนลอนเชอร์						
11020			FALSE	SPARK LASER	전격 광선	スパークレーザー	火花雷射	สปาร์คเลเซอร์						
11021			FALSE	RECOVERY ARROW	소생의 화살	リカバリーアロー	回復之箭	รีคัฟเวอรี่แอร์โร						
11022			FALSE	SPIKE CROSS	약화 침투	スパイククロス	尖刺十字	สไปค์ครอส						
11023			FALSE	PURGE	숙청	パージ	淨除	เพิร์จ						
11024			FALSE	RAPID HIT	연속 타격	ラピッドヒット	快速打擊	แรพิดฮิต						
11025			FALSE	LOCKDOWN	봉쇄	ロックダウン	封鎖	ล็อกดาวน์						
11026			FALSE	DOOM BRINGER	파멸 인도자	ドゥームブリンガー	末日使者	ดูมบริงเกอร์						
11027			FALSE	VENOM FORCE	독의기운	ベノムフォース	毒氣	พลังพิษ						
11028			FALSE	SPIRIT WARD	정령의 가호	スピリットワード	靈魂守護	สปิริตวอร์ด						
11029			FALSE	CLAW THRUST	발톱 갈기	クロースラスト	利爪突刺	คลอสรัสต์						
11030			FALSE	BREAKER	파괴자	ブレイカー	破壞者	เบรกเกอร์						
11031			FALSE	SMASH	화염 압살	スマッシュ	重擊	สแมช						
11032			FALSE	THUNDER SHOCK	천둥뇌격	サンダーショック	雷霆衝擊	ธันเดอร์ช็อค						
11033			FALSE	VOID SLASH	차원 가르기	ボイドスラッシュ	虛無斬擊	วอยด์สแลช						
11034			FALSE	HELLBLAZE	지옥불	ヘルブレイズ	地獄烈焰	เฮลเบลซ						
11035			FALSE	FINAL CRUSH	최종 분쇄	ファイナルクラッシュ	終極粉碎	ไฟนอลครัช						
11036			FALSE	ARC RAIN	낙궁포탄	アークミサイル	電弧飛彈	อาร์คมิสไซล์						
11037			FALSE	VINE SPIRAL	덩굴 나선	バインスパイラル	藤蔓螺旋	ไวน์สไปรัล						
11038			FALSE	TOXIC GEAR	맹독 기어	トキシックギア	毒性齒輪	เกียร์พิษ						
11039			FALSE	HOLY SHIELD	성스러운 방패	ホーリーシールド	神聖護盾	โฮลี่ชีลด์						
11040			FALSE	HYPNOS	나른함	ヒプノス	催眠之神	ฮิปโนส						
11041			FALSE	DRAKE FIST	용의 주먹	ドレイクフィスト	龍拳	เดรกฟิสต์						
11042			FALSE	INFERNO	맹화	インフェルノ	煉獄	อินเฟอร์โน						
11043			FALSE	STING	침혼	スティング	毒刺	สติง						
11044			FALSE	REAPER	영혼 사냥꾼	リーパー	死神	รีเปอร์						
11045			FALSE	BATTLEBORN	선봉장	バトルボーン	戰鬥本能	แบทเทิลบอร์น						
11201		스킬 설명	FALSE	Attack an enemy Guardian 2 times.	적을 {0}회 공격합니다.	敵を2回攻撃します。	攻擊敵人 2 次。	โจมตีศัตรู 2 ครั้ง	Attack an enemy Guardian {0} times.	敵を{0}回攻撃します。	攻擊敵人 {0} 次。	โจมตีศัตรู {0} ครั้ง		
11204			FALSE	Attack all enemy Guardians.	모든 적군을 공격합니다.	すべての敵を攻撃します。	攻擊所有敵人。	โจมตีศัตรูทั้งหมด	Attack all enemy Guardians.	すべての敵を攻撃します。	攻擊所有敵人。	โจมตีศัตรูทั้งหมด		
11205			FALSE	Heals 40% of ATK for all Guardians.	ATK의 {0}%만큼 모든 아군의 HP을 회복시킵니다.	ATKの40%分、全味方のHPを回復します。	以攻擊力 40% 為所有我方恢復生命值。	ฟื้นฟู พลังชีวิต ของพันธมิตรทั้งหมด 40% ของพลังโจมตี	Heals {0}% of ATK for all Guardians.	ATKの{0}%分、全味方のHPを回復します。	以攻擊力 {0}% 為所有我方恢復生命值。	ฟื้นฟู พลังชีวิต ของพันธมิตรทั้งหมด {0}% ของพลังโจมตี		
11206			FALSE	Heals 53% of ATK and removes 1 negative effects for all Guardians.	ATK의 {0}%만큼 모든 아군의 HP을 회복시키며, 걸려있는 약화 효과를 {1}개 제거합니다.	ATKの53%分、全味方のHPを回復し、デバフを1個解除します。	以攻擊力 53% 為所有我方恢復生命值，並解除 1 個弱化效果。	ฟื้นฟู พลังชีวิต ของพันธมิตรทั้งหมด 53% ของพลังโจมตี และลบดีบัฟ 1 อัน	Heals {0}% of ATK and removes {1} negative effects for all Guardians.	ATKの{0}%分、全味方のHPを回復し、デバフを{1}個解除します。	以攻擊力 {0}% 為所有我方恢復生命值，並解除 {1} 個弱化效果。	ฟื้นฟู พลังชีวิต ของพันธมิตรทั้งหมด {0}% ของพลังโจมตี และลบดีบัฟ {1} อัน		
11202			FALSE	Attack an enemy Guardian 5 times and debuff ATK for 2 turns.	적을 {0}회 공격하며, 적군의 ATK을 {1}턴 간 약화시킵니다.	敵を5回攻撃し、敵のATKを2ターン弱化します。	攻擊敵人 5 次，並使敵軍攻擊力降低 2 回合。	โจมตีศัตรู 5 ครั้ง ลดพลังโจมตีของศัตรูเป็นเวลา 2 เทิร์น	Attack an enemy Guardian {0} times and debuff ATK for {1} turns.	敵を{0}回攻撃し、敵のATKを{1}ターン弱化します。	攻擊敵人 {0} 次，並使敵軍攻擊力降低 {1} 回合。	โจมตีศัตรู {0} ครั้ง ลดพลังโจมตีของศัตรูเป็นเวลา {1} เทิร์น		
11203			FALSE	Attack an enemy Guardian 3 times and buff ATK of all ally Guardians for 3 turns.	적을 {0}회 공격하며 모든 아군의 ATK을 {1}턴 간 강화시킵니다.	敵を3回攻撃し、味方全体のATKを3ターン強化します。	攻擊敵人 3 次，並使所有我方攻擊力提升 3 回合。	โจมตีศัตรู 3 ครั้ง เพิ่มพลังโจมตีของพันธมิตรทั้งหมดเป็นเวลา 3 เทิร์น	Attack an enemy Guardian {0} times and buff ATK of all ally Guardians for {1} turns.	敵を{0}回攻撃し、味方全体のATKを{1}ターン強化します。	攻擊敵人 {0} 次，並使所有我方攻擊力提升 {1} 回合。	โจมตีศัตรู {0} ครั้ง เพิ่มพลังโจมตีของพันธมิตรทั้งหมดเป็นเวลา {1} เทิร์น	4,{1}	
11209			FALSE	Attack an enemy Guardian 3 times.	적을 {0}회 공격합니다.	敵を3回攻撃します。	攻擊敵人 3 次。	โจมตีศัตรู 3 ครั้ง	Attack an enemy Guardian {0} times.	敵を{0}回攻撃します。	攻擊敵人 {0} 次。	โจมตีศัตรู {0} ครั้ง		
11212			FALSE	Attack all enemy Guardians 6 times.	모든 적군을 {0}회 공격합니다.	すべての敵を6回攻撃します。	攻擊所有敵人 6 次。	โจมตีศัตรูทั้งหมด 6 ครั้ง	Attack all enemy Guardians {0} times.	すべての敵を{0}回攻撃します。	攻擊所有敵人 {0} 次。	โจมตีศัตรูทั้งหมด {0} ครั้ง		
11215			FALSE	Cast recovery on all ally Guardians for 1 turn.	모든 아군을 {0}턴 간 HP 회복 상태로 만듭니다.	味方全体を1ターンのHP回復状態にします。	使所有我方進入 1 回合的生命值恢復狀態。	ทำให้พันธมิตรทั้งหมดอยู่ในสถานะฟื้นฟู พลังชีวิต เป็นเวลา 1 เทิร์น	Cast recovery on all ally Guardians for {0} turn.	味方全体を{0}ターンのHP回復状態にします。	使所有我方進入 {0} 回合的生命值恢復狀態。	ทำให้พันธมิตรทั้งหมดอยู่ในสถานะฟื้นฟู พลังชีวิต เป็นเวลา {0} เทิร์น	1,{0}	
11216			FALSE	Attacks the enemy 3 times, with a 20% chance to inflict poison for 2 turns with each attack.	적을 {0}회 공격하며, 매 공격 시 {1}% 확률로 {2}턴 간 중독 상태로 만듭니다.	敵を3回攻撃し、攻撃毎に20%の確率で2ターンの間毒状態にします。	攻擊敵人3次，每次攻擊時有20%機率使敵人中毒2回合。	โจมตีศัตรู 3 ครั้ง โดยในแต่ละครั้งมีโอกาส 20% ที่จะทำให้เป็นพิษเป็นเวลา 2 เทิร์น	Attacks the enemy {0} times, with a {1}% chance to inflict poison for {2} turns with each attack.	敵を{0}回攻撃し、攻撃毎に{1}%の確率で{2}ターンの間毒状態にします。	攻擊敵人{0}次，每次攻擊時有{1}%機率使敵人中毒{2}回合。	โจมตีศัตรู {0} ครั้ง โดยในแต่ละครั้งมีโอกาส {1}% ที่จะทำให้เป็นพิษเป็นเวลา {2} เทิร์น		
11207			FALSE	Attack an enemy Guardian 3 times.	적을 {0}회 공격합니다.	敵を3回攻撃します。	攻擊敵人 3 次。	โจมตีศัตรู 3 ครั้ง	Attack an enemy Guardian {0} times.	敵を{0}回攻撃します。	攻擊敵人 {0} 次。	โจมตีศัตรู {0} ครั้ง		
11208			FALSE	Attack an enemy Guardian 2 times. Each attack add burning for 1 turns by 50% chance.	적을 {0}회 공격하며, 매 공격 시 {1}% 확률로 {2}턴 간 화상 상태로 만듭니다.	敵を2回攻撃し、各攻撃ごとに50%の確率で1ターン火傷状態にします。	攻擊敵人 2 次，每次攻擊時有 50% 機率使其陷入 1 回合的燃燒狀態。	โจมตีศัตรู 2 ครั้ง แต่ละครั้งมีโอกาส 50% ที่จะทำให้ติดสถานะเผาไหม้เป็นเวลา 1 เทิร์น	Attack an enemy Guardian {0} times. Each attack add burning for {2} turns by {1}% chance.	敵を{0}回攻撃し、各攻撃ごとに{1}%の確率で{2}ターン火傷状態にします。	攻擊敵人 {0} 次，每次攻擊時有 {1}% 機率使其陷入 {2} 回合的燃燒狀態。	โจมตีศัตรู {0} ครั้ง แต่ละครั้งมีโอกาส {1}% ที่จะทำให้ติดสถานะเผาไหม้เป็นเวลา {2} เทิร์น		
11210			FALSE	Attack an enemy Guardian 7 times. Each attack debuff ATK for 2 turns by 20% chance.	적을 {0}회 공격하며, 매 공격 시 {1}% 확률로 {2}턴 간 ATK을 약화시킵니다.	敵を7回攻撃し、各攻撃ごとに20%の確率で2ターンATKを弱化します。	攻擊敵人 7 次，每次攻擊時有 20% 機率降低 2 回合的攻擊力。	โจมตีศัตรู 7 ครั้ง แต่ละครั้งมีโอกาส 20% ที่จะลดพลังโจมตีเป็นเวลา 2 เทิร์น	Attack an enemy Guardian {0} times. Each attack debuff ATK for {2} turns by {1}% chance.	敵を{0}回攻撃し、各攻撃ごとに{1}%の確率で{2}ターンATKを弱化します。	攻擊敵人 {0} 次，每次攻擊時有 {1}% 機率降低 {2} 回合的攻擊力。	โจมตีศัตรู {0} ครั้ง แต่ละครั้งมีโอกาส {1}% ที่จะลดพลังโจมตีเป็นเวลา {2} เทิร์น		
11211			FALSE	Attack an enemy Guardian and put a shield on a random ally Guardian for 1 turn.	적을 공격하며, 무작위 아군 {0}명에게 {1}턴 간 보호막을 부여합니다.	敵を攻撃し、ランダムな味方1人に1ターンのシールドを付与します。	攻擊敵人，隨機為 1 名我方賦予 1 回合護盾。	โจมตีศัตรู และมอบโล่ให้พันธมิตรแบบสุ่ม 1 คน เป็นเวลา 1 เทิร์น	Attack an enemy Guardian and put a shield on a random ally Guardian for 1 turn.	敵を攻撃し、ランダムな味方{0}人に1ターンのシールドを付与します。	攻擊敵人，隨機為 {0} 名我方賦予 1 回合護盾。	โจมตีศัตรู และมอบโล่ให้พันธมิตรแบบสุ่ม {0} คน เป็นเวลา {1} เทิร์น	2,{1}	
11213			FALSE	Attack all enemy Guardians 6 times and debuff CRIT for 2 turns.	모든 적군을 {0}회 공격하며, CRIT 확률을 {1}턴 간 약화시킵니다.	すべての敵を6回攻撃し、CRIT率を2ターン弱化します。	攻擊所有敵人 6 次，降低其 2 回合的爆擊率。	โจมตีศัตรูทั้งหมด 6 ครั้ง ลดโอกาสคริติคอลเป็นเวลา 2 เทิร์น	Attack all enemy Guardians {0} times and debuff CRIT for {1} turns.	すべての敵を{0}回攻撃し、CRIT率を{1}ターン弱化します。	攻擊所有敵人 {0} 次，降低其 {1} 回合的爆擊率。	โจมตีศัตรูทั้งหมด {0} ครั้ง ลดโอกาสคริติคอลเป็นเวลา {1} เทิร์น		
11214			FALSE	Attack the enemy 4 times, Each attack cast sleep 1 turns by 15% chance.	적을 {0}회 공격하며, 매 공격 시 {1}% 확률로 {2}턴 간 수면 상태로 만듭니다.	敵を4回攻撃し、各攻撃ごとに15%の確率で1ターン睡眠状態にします。	攻擊敵人 4 次，每次攻擊時有 15% 機率使其陷入 1 回合的睡眠狀態。	โจมตีศัตรู 4 ครั้ง แต่ละครั้งมีโอกาส 15% ที่จะทำให้ติดสถานะหลับเป็นเวลา 1 เทิร์น	Attack the enemy {0} times, Each attack cast sleep {2} turns by {1}% chance.	敵を{0}回攻撃し、各攻撃ごとに{1}%の確率で{2}ターン睡眠状態にします。	攻擊敵人 {0} 次，每次攻擊時有 {1}% 機率使其陷入 {2} 回合的睡眠狀態。	โจมตีศัตรู {0} ครั้ง แต่ละครั้งมีโอกาส {1}% ที่จะทำให้ติดสถานะหลับเป็นเวลา {2} เทิร์น		
11218			FALSE	Attacks all enemies 3 times, with a 15% chance to stun for 1 turns.	모든 적군을 {0}회 공격하며, {1}% 확률로 {2}턴간 기절 상태로 만듭니다.	全ての敵を3回攻撃し、15%の確率で1ターンの間気絶状態にします。	攻擊所有敵人3次，有15%機率使其昏迷1回合。	โจมตีศัตรูทั้งหมด 3 ครั้ง โดยมีโอกาส 15% ที่จะทำให้เป็นอัมพาตเป็นเวลา 1 เทิร์น	Attacks all enemies {0} times, with a {1}% chance to stun for {2} turns.	全ての敵を{0}回攻撃し、{1}%の確率で{2}ターンの間気絶状態にします。	攻擊所有敵人{0}次，有{1}%機率使其昏迷{2}回合。	โจมตีศัตรูทั้งหมด {0} ครั้ง โดยมีโอกาส {1}% ที่จะทำให้เป็นอัมพาตเป็นเวลา {2} เทิร์น	8,{2}	
11219			FALSE	Attack all enemy Guardians 5 times. Each attack debuff DEF for 3 turns by 5% chance.	모든 적군을 {0}회 공격하며, 매 공격 시 {1}% 확률로 모든 적군의 DEF를 {2}턴 간 약화시킵니다.	すべての敵を5回攻撃し、各攻撃ごとに5%の確率ですべての敵のDEFを3ターン弱化します。	攻擊所有敵人 5 次，每次攻擊時有 5% 機率使所有敵人降低 3 回合的防禦力。	โจมตีศัตรูทั้งหมด 5 ครั้ง แต่ละครั้งมีโอกาส 5% ที่จะลดพลังป้องกันของศัตรูทั้งหมดเป็นเวลา 3 เทิร์น	Attack all enemy Guardians {0} times. Each attack debuff DEF for {2} turns by {1}% chance.	すべての敵を{0}回攻撃し、各攻撃ごとに{1}%の確率ですべての敵のDEFを{2}ターン弱化します。	攻擊所有敵人 {0} 次，每次攻擊時有 {1}% 機率使所有敵人降低 {2} 回合的防禦力。	โจมตีศัตรูทั้งหมด {0} ครั้ง แต่ละครั้งมีโอกาส {1}% ที่จะลดพลังป้องกันของศัตรูทั้งหมดเป็นเวลา {2} เทิร์น		
11222			FALSE	Attack an enemy Guardian 2 times. Each attack debuff ATK for 3 turns by 50% chance.	적군을 {0}회 공격하며, 매 공격 시 {1}% 확률로 {2}턴 간 ATK을 약화시킵니다.	敵を2回攻撃し、各攻撃ごとに50%の確率で3ターンATKを弱化します。	攻擊敵人 2 次，每次攻擊時有 50% 機率降低 3 回合的攻擊力。	โจมตีศัตรู 2 ครั้ง แต่ละครั้งมีโอกาส 50% ที่จะลดพลังโจมตีเป็นเวลา 3 เทิร์น	Attack an enemy Guardian {0} times. Each attack debuff ATK for {2} turns by {1}% chance.	敵を{0}回攻撃し、各攻撃ごとに{1}%の確率で{2}ターンATKを弱化します。	攻擊敵人 {0} 次，每次攻擊時有 {1}% 機率降低 {2} 回合的攻擊力。	โจมตีศัตรู {0} ครั้ง แต่ละครั้งมีโอกาส {1}% ที่จะลดพลังโจมตีเป็นเวลา {2} เทิร์น		
11223			FALSE	Attack all enemy Guardians 2 times. Each attack removes 2 buffs of all enemy Guardians by 20% chance.	모든 적군을 {0}회 공격하며, {1}% 확률로 모든 적군의 강화 효과를 {2}개 제거합니다.	すべての敵を2回攻撃し、20%の確率ですべての敵の強化効果を2個解除します。	攻擊所有敵人 2 次，有 20% 機率移除所有敵人 2 個增益效果。	โจมตีศัตรูทั้งหมด 2 ครั้ง มีโอกาส 20% ที่จะลบ Buff ของศัตรูทั้งหมด 2 อัน	Attack all enemy Guardians {0} times. Each attack removes {2} buffs of all enemy Guardians by {1}% chance.	すべての敵を{0}回攻撃し、{1}%の確率ですべての敵の強化効果を{2}個解除します。	攻擊所有敵人 {0} 次，有 {1}% 機率移除所有敵人 {2} 個增益效果。	โจมตีศัตรูทั้งหมด {0} ครั้ง มีโอกาส {1}% ที่จะลบ Buff ของศัตรูทั้งหมด {2} อัน		
11224			FALSE	Fast attack an enemy Guardian 8 times. Cast Immunity for 2 turns by 50% chance.	매우 빠른 속도로 적을 {0}회 공격하며, {1}% 확률로 {2}턴 간 면역 상태가 됩니다.	超高速で敵を8回攻撃し、50%の確率で2ターン免疫状態になります。	以超快速度攻擊敵人 8 次，有 50% 機率進入 2 回合免疫狀態。	โจมตีศัตรู 8 ครั้งด้วยความเร็วสูงมาก มีโอกาส 50% ที่จะได้รับสถานะภูมิคุ้มกัน 2 เทิร์น	Fast attack an enemy Guardian {0} times. Cast Immunity for {2} turns by {1}% chance.	超高速で敵を{0}回攻撃し、{1}%の確率で{2}ターン免疫状態になります。	以超快速度攻擊敵人 {0} 次，有 {1}% 機率進入 {2} 回合免疫狀態。	โจมตีศัตรู {0} ครั้งด้วยความเร็วสูงมาก มีโอกาส {1}% ที่จะได้รับสถานะภูมิคุ้มกัน {2} เทิร์น	7,{2}	
